# wavelength transmittance reflectance absorbance
0.400000 0.817186 0.117393 0.065422
0.420253 0.912614 0.020020 0.067366
0.440506 0.924361 0.000525 0.075114
0.460759 0.914594 0.003587 0.081819
0.481013 0.908064 0.003222 0.088714
0.501266 0.906374 0.001237 0.092390
0.521519 0.902487 0.000561 0.096953
0.541772 0.897963 0.000575 0.101461
0.562025 0.893746 0.001456 0.104798
0.582278 0.885449 0.004630 0.109920
0.602532 0.876349 0.009407 0.114243
0.622785 0.868529 0.011306 0.120165
0.643038 0.857731 0.007070 0.135199
0.663291 0.835819 0.007378 0.156803
0.683544 0.769496 0.049524 0.180980
0.703797 0.628313 0.178330 0.193357
0.724051 0.439972 0.377661 0.182367
0.744304 0.274714 0.569870 0.155416
0.764557 0.163869 0.709851 0.126280
0.784810 0.098330 0.799384 0.102286
0.805063 0.060802 0.854992 0.084207
0.825316 0.038931 0.890543 0.070526
0.845570 0.025824 0.913644 0.060533
0.865823 0.017709 0.929491 0.052800
0.886076 0.012515 0.940790 0.046695
0.906329 0.009129 0.948643 0.042228
0.926582 0.006817 0.954641 0.038541
0.946835 0.005199 0.959346 0.035456
0.967089 0.004043 0.963114 0.032843
0.987342 0.003198 0.966203 0.030599
1.007595 0.002568 0.968778 0.028654
1.027848 0.002356 0.970047 0.027596
1.048101 0.001942 0.971942 0.026116
1.068354 0.001622 0.973447 0.024932
1.088608 0.001367 0.974769 0.023864
1.108861 0.001164 0.975938 0.022898
1.129114 0.000998 0.976981 0.022020
1.149367 0.000865 0.977910 0.021226
1.169620 0.000755 0.978739 0.020506
1.189873 0.000663 0.979505 0.019832
1.210127 0.000522 0.980583 0.018896
1.230380 0.000465 0.981193 0.018342
1.250633 0.000416 0.981767 0.017817
1.270886 0.000374 0.982307 0.017319
1.291139 0.000338 0.982810 0.016853
1.311392 0.000306 0.983275 0.016418
1.331646 0.000279 0.983701 0.016020
1.351899 0.000256 0.984100 0.015644
1.372152 0.000235 0.984476 0.015289
1.392405 0.000216 0.984804 0.014980
1.412658 0.000199 0.985099 0.014702
1.432911 0.000184 0.985378 0.014438
1.453165 0.000171 0.985645 0.014185
1.473418 0.000159 0.985891 0.013951
1.493671 0.000148 0.986116 0.013736
1.513924 0.000138 0.986333 0.013529
1.534177 0.000130 0.986540 0.013330
1.554430 0.000122 0.986741 0.013137
1.574684 0.000114 0.986924 0.012962
1.594937 0.000108 0.987101 0.012791
1.615190 0.000102 0.987272 0.012626
1.635443 0.000096 0.987438 0.012466
1.655696 0.000091 0.987598 0.012311
1.675949 0.000086 0.987741 0.012172
1.696203 0.000082 0.987877 0.012041
1.716456 0.000078 0.988010 0.011912
1.736709 0.000074 0.988140 0.011786
1.756962 0.000070 0.988267 0.011663
1.777215 0.000067 0.988390 0.011543
1.797468 0.000064 0.988476 0.011460
1.817722 0.000061 0.988560 0.011379
1.837975 0.000059 0.988641 0.011300
1.858228 0.000056 0.988724 0.011220
1.878481 0.000054 0.988805 0.011141
1.898734 0.000052 0.988884 0.011064
1.918987 0.000050 0.988959 0.010991
1.939241 0.000048 0.989016 0.010936
1.959494 0.000046 0.989073 0.010881
1.979747 0.000044 0.989131 0.010825
2.000000 0.000040 0.989235 0.010725
