# wll SA_transmittance SA_reflectance SA_absorbance
0.187880 0.017180 0.079722 0.903098
0.189310 0.012939 0.120696 0.866366
0.190770 0.012755 0.168510 0.818735
0.192250 0.016796 0.212631 0.770572
0.193750 0.028093 0.231949 0.739957
0.195280 0.046792 0.192148 0.761060
0.196830 0.044417 0.126432 0.829151
0.198400 0.021959 0.117204 0.860837
0.200000 0.009771 0.144275 0.845954
0.201630 0.005452 0.177365 0.817183
0.203280 0.004113 0.206861 0.789025
0.204960 0.004211 0.231358 0.764431
0.206670 0.005837 0.250206 0.743957
0.208400 0.010943 0.259240 0.729817
0.210170 0.027537 0.242639 0.729824
0.211970 0.077517 0.168051 0.754432
0.213790 0.133187 0.070605 0.796208
0.215650 0.094953 0.047913 0.857134
0.217540 0.051368 0.065158 0.883474
0.219470 0.033856 0.084194 0.881950
0.221430 0.030367 0.093141 0.876492
0.223420 0.036924 0.088828 0.874248
0.225450 0.058764 0.068698 0.872538
0.227520 0.109669 0.035425 0.854907
0.229630 0.176985 0.009950 0.813065
0.231780 0.166133 0.007043 0.826825
0.233960 0.098301 0.019631 0.882067
0.236190 0.054358 0.036793 0.908849
0.238460 0.034968 0.046664 0.918368
0.240780 0.027493 0.047100 0.925407
0.243140 0.026250 0.040153 0.933598
0.245540 0.029610 0.028882 0.941508
0.248000 0.037891 0.016834 0.945275
0.250510 0.051708 0.007852 0.940440
0.253060 0.069154 0.003703 0.927143
0.255670 0.083585 0.003521 0.912893
0.258330 0.087921 0.006558 0.905522
0.261050 0.082762 0.011197 0.906041
0.263830 0.074577 0.013526 0.911897
0.266670 0.067790 0.011619 0.920590
0.269570 0.062769 0.007105 0.930126
0.272530 0.058352 0.003017 0.938631
0.275560 0.054521 0.000964 0.944516
0.278650 0.051694 0.000422 0.947884
0.281820 0.049732 0.000670 0.949598
0.285060 0.048936 0.002000 0.949063
0.288370 0.050570 0.005112 0.944318
0.291760 0.055810 0.009976 0.934214
0.295240 0.067772 0.015777 0.916451
0.298800 0.092336 0.020914 0.886750
0.302440 0.137903 0.022372 0.839725
0.306170 0.222257 0.017258 0.760485
0.310000 0.358433 0.006907 0.634660
0.313920 0.519934 0.000893 0.479172
0.317950 0.581447 0.000807 0.417747
0.322080 0.491037 0.009138 0.499825
0.326320 0.374229 0.034807 0.590964
0.330670 0.289242 0.068082 0.642676
0.335140 0.244512 0.095946 0.659543
0.339730 0.228156 0.106120 0.665724
0.344440 0.235139 0.098047 0.666814
0.349300 0.270528 0.081154 0.648317
0.354290 0.336069 0.057762 0.606170
0.359420 0.435385 0.034402 0.530213
0.364710 0.562411 0.014919 0.422670
0.370150 0.689013 0.003397 0.307590
0.375760 0.764468 0.000275 0.235257
0.381540 0.770106 0.000002 0.229892
0.387500 0.730598 0.000006 0.269396
0.393650 0.678241 0.000236 0.321524
0.400000 0.626305 0.001429 0.372266
0.406560 0.573310 0.004605 0.422085
0.413330 0.532250 0.010826 0.456924
0.420340 0.513321 0.019920 0.466758
0.427590 0.512102 0.028728 0.459170
0.435090 0.527668 0.032512 0.439820
0.442860 0.563576 0.029031 0.407393
0.450910 0.620725 0.019187 0.360088
0.459260 0.691588 0.007878 0.300534
0.467920 0.754316 0.001398 0.244286
0.476920 0.776731 0.000061 0.223207
0.486270 0.737924 0.000270 0.261806
0.496000 0.655757 0.003628 0.340614
0.506120 0.563961 0.014824 0.421215
0.516670 0.491695 0.031544 0.476762
0.527660 0.452009 0.044608 0.503383
0.539130 0.445229 0.047235 0.507536
0.551110 0.472038 0.038041 0.489921
0.563640 0.527641 0.021620 0.450739
0.576740 0.596579 0.007324 0.396096
0.590480 0.654752 0.001064 0.344184
0.604880 0.675207 0.000075 0.324718
0.620000 0.657201 0.000275 0.342524
0.635900 0.621663 0.001649 0.376688
0.652630 0.594958 0.003104 0.401938
0.670270 0.583164 0.002399 0.414438
0.688890 0.539669 0.001819 0.458512
0.708570 0.404345 0.008974 0.586682
0.729410 0.226018 0.055512 0.718469
0.751520 0.100841 0.176438 0.722721
0.775000 0.041158 0.336061 0.622781
0.800000 0.017204 0.479712 0.503083
0.826670 0.008027 0.586153 0.405820
0.855170 0.004335 0.657109 0.338556
0.885710 0.002742 0.702836 0.294421
0.918520 0.002058 0.728925 0.269017
0.953850 0.001792 0.746321 0.251887
0.992000 0.001784 0.760375 0.237841
1.033330 0.001966 0.769588 0.228446
1.078260 0.002227 0.777082 0.220690
1.127270 0.002222 0.783592 0.214186
1.180950 0.001604 0.793070 0.205326
1.240000 0.000818 0.812205 0.186977
1.305260 0.000356 0.836099 0.163545
1.377780 0.000150 0.855681 0.144169
1.458820 0.000064 0.872062 0.127874
1.550000 0.000032 0.878396 0.121573
1.653330 0.000020 0.867439 0.132541
1.771430 0.000014 0.860816 0.139170
1.907690 0.000011 0.864970 0.135019
2.066670 0.000008 0.881564 0.118428
