# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
0.300000 1.3981942500e-04 3.0903465000e-01 6.9082553000e-01 1.3740480100e-04 3.1125754000e-01 6.8860505000e-01
0.310000 2.4466951500e-04 3.2388578000e-01 6.7586955000e-01 2.4091339300e-04 3.2603748000e-01 6.7372161000e-01
0.320000 4.0594112500e-04 3.2278778000e-01 6.7680628000e-01 4.0018542500e-04 3.2501488000e-01 6.7458493000e-01
0.330000 5.1737025100e-04 3.1573735000e-01 6.8374528000e-01 5.1015896000e-04 3.1808847000e-01 6.8140137000e-01
0.340000 1.0469813100e-03 2.8287660000e-01 7.1607642000e-01 1.0341317400e-03 2.8510074000e-01 7.1386513000e-01
0.350000 1.6296083700e-03 2.5013126000e-01 7.4823913000e-01 1.6110082200e-03 2.5225599000e-01 7.4613300000e-01
0.360000 2.2384308600e-03 2.1669517000e-01 7.8106640000e-01 2.2143291500e-03 2.1869892000e-01 7.7908675000e-01
0.370000 2.8154334100e-03 1.8420634000e-01 8.1297822000e-01 2.7869584400e-03 1.8602967000e-01 8.1118337000e-01
0.380000 3.5010311400e-03 1.5175818000e-01 8.4474079000e-01 3.4684717300e-03 1.5332630000e-01 8.4320522000e-01
0.390000 4.3023641700e-03 1.2105098000e-01 8.7464665000e-01 4.2664468300e-03 1.2231589000e-01 8.7341767000e-01
0.400000 5.2264280300e-03 9.3518250000e-02 9.0125532000e-01 5.1883919200e-03 9.4459010000e-02 9.0035260000e-01
0.410000 6.2823075000e-03 7.0187320000e-02 9.2353038000e-01 6.2439828400e-03 7.0806280000e-02 9.2294974000e-01
0.420000 5.9047555000e-03 5.5561070000e-02 9.3853417000e-01 5.8731211500e-03 5.5846680000e-02 9.3828019000e-01
0.430000 4.9750453200e-03 4.4799330000e-02 9.5022562000e-01 4.9518202900e-03 4.4638070000e-02 9.5041011000e-01
0.440000 4.2278069600e-03 3.5557770000e-02 9.6021443000e-01 4.2119946100e-03 3.4825570000e-02 9.6096243000e-01
0.450000 3.6144428500e-03 2.8416350000e-02 9.6796921000e-01 3.6051980500e-03 2.7009170000e-02 9.6938563000e-01
0.460000 3.1016718200e-03 2.3887730000e-02 9.7301060000e-01 3.0982186700e-03 2.1743820000e-02 9.7515796000e-01
0.470000 2.6671504700e-03 2.2356920000e-02 9.7497593000e-01 2.6687614600e-03 1.9480810000e-02 9.7785042000e-01
0.480000 2.2948069200e-03 2.3917420000e-02 9.7378777000e-01 2.3007672800e-03 2.0396350000e-02 9.7730288000e-01
0.490000 1.9742672900e-03 2.8354770000e-02 9.6967096000e-01 1.9838920700e-03 2.4368710000e-02 9.7364740000e-01
0.500000 1.6244991300e-03 3.4188910000e-02 9.6418659000e-01 1.6336442000e-03 2.9877280000e-02 9.6848908000e-01
0.510000 1.2559872100e-03 3.9584320000e-02 9.5915970000e-01 1.2604616200e-03 3.4743840000e-02 9.6399570000e-01
0.520000 9.7496777300e-04 4.4798610000e-02 9.5422642000e-01 9.7604253300e-04 3.9265700000e-02 9.5975825000e-01
0.530000 7.6089273200e-04 4.9228820000e-02 9.5001028000e-01 7.5956953200e-04 4.2835960000e-02 9.5640447000e-01
