# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
0.300000 1.5497556900e-04 2.2913555000e-01 7.7070947000e-01 1.6159059400e-04 2.2064990000e-01 7.7918851000e-01
0.310000 2.6238781700e-04 2.7832001000e-01 7.2141760000e-01 2.7127475000e-04 2.7147858000e-01 7.2825014000e-01
0.320000 4.2289841700e-04 3.0866976000e-01 6.9090735000e-01 4.2892970600e-04 3.0519481000e-01 6.9437626000e-01
0.330000 5.1900064900e-04 3.3207026000e-01 6.6741074000e-01 5.1782530800e-04 3.3140125000e-01 6.6808092000e-01
0.340000 1.0102436100e-03 3.2659118000e-01 6.7239857000e-01 9.9574016600e-04 3.2833434000e-01 6.7066992000e-01
0.350000 1.5202336500e-03 3.1734738000e-01 6.8113238000e-01 1.4843585400e-03 3.2133440000e-01 6.7718124000e-01
0.360000 2.0320181600e-03 3.0192230000e-01 6.9604569000e-01 1.9792645100e-03 3.0722321000e-01 6.9079753000e-01
0.370000 2.5009549600e-03 2.8439407000e-01 7.1310497000e-01 2.4492368200e-03 2.8923272000e-01 7.0831804000e-01
0.380000 3.0726013400e-03 2.6221008000e-01 7.3471732000e-01 3.0295068500e-03 2.6587735000e-01 7.3109315000e-01
0.390000 3.7714345600e-03 2.3617895000e-01 7.6004961000e-01 3.7368491700e-03 2.3880429000e-01 7.5745886000e-01
0.400000 4.6143953600e-03 2.0809630000e-01 7.8728930000e-01 4.5860139300e-03 2.0998064000e-01 7.8543335000e-01
0.410000 5.6164905500e-03 1.7996877000e-01 8.1441474000e-01 5.5924218700e-03 1.8134062000e-01 8.1306696000e-01
0.420000 5.3633329600e-03 1.5859559000e-01 8.3604108000e-01 5.3442586100e-03 1.5973904000e-01 8.3491670000e-01
0.430000 4.6094268300e-03 1.3839243000e-01 8.5699815000e-01 4.5949798800e-03 1.3939626000e-01 8.5600876000e-01
0.440000 4.0151561600e-03 1.1596317000e-01 8.8002167000e-01 4.0051269500e-03 1.1676923000e-01 8.7922564000e-01
0.450000 3.5383491200e-03 9.1919420000e-02 9.0454223000e-01 3.5331030900e-03 9.2406830000e-02 9.0406006000e-01
0.460000 3.1473536700e-03 6.7312450000e-02 9.2954020000e-01 3.1462531100e-03 6.7375070000e-02 9.2947867000e-01
0.470000 2.8129529300e-03 4.4264500000e-02 9.5292254000e-01 2.8134441900e-03 4.3939140000e-02 9.5324742000e-01
0.480000 2.5140318600e-03 2.5207780000e-02 9.7227819000e-01 2.5141757100e-03 2.4585260000e-02 9.7290056000e-01
0.490000 2.2418603500e-03 1.2155200000e-02 9.8560294000e-01 2.2415348600e-03 1.1274060000e-02 9.8648440000e-01
0.500000 1.8943049500e-03 4.5783200000e-03 9.9352738000e-01 1.8964643700e-03 4.1049100000e-03 9.9399862000e-01
0.510000 1.4921623300e-03 4.7518300000e-03 9.9375601000e-01 1.4839315000e-03 4.1560400000e-03 9.9436003000e-01
0.520000 1.1691883100e-03 1.0553050000e-02 9.8827776000e-01 1.1584076500e-03 9.6161900000e-03 9.8922541000e-01
0.530000 9.1479201600e-04 1.9848170000e-02 9.7923704000e-01 9.0424990700e-04 1.8367700000e-02 9.8072805000e-01
0.540000 7.1703275700e-04 3.0823660000e-02 9.6845931000e-01 7.0749242800e-04 2.8638050000e-02 9.7065446000e-01
0.550000 5.6420305100e-04 4.2167820000e-02 9.5726798000e-01 5.5581743000e-04 3.9112000000e-02 9.6033218000e-01
