# wavelength transmittance reflectance absorbance transmittance reflectance absorbance
0.300000 0.000115 0.166854 0.833031 0.000114 0.169164 0.830722
0.310000 0.000212 0.186070 0.813718 0.000208 0.189904 0.809888
0.320000 0.000364 0.208562 0.791073 0.000354 0.211832 0.787814
0.330000 0.000472 0.233632 0.765896 0.000458 0.235176 0.764366
0.340000 0.000965 0.242412 0.756623 0.000941 0.242072 0.756987
0.350000 0.001500 0.247363 0.751137 0.001470 0.245458 0.753072
0.360000 0.002006 0.245743 0.752251 0.001983 0.243076 0.754941
0.370000 0.002527 0.238666 0.758807 0.002506 0.235749 0.761744
0.380000 0.003160 0.226148 0.770692 0.003143 0.223248 0.773609
0.390000 0.003918 0.208905 0.787177 0.003904 0.206435 0.789660
0.400000 0.004822 0.188481 0.806696 0.004806 0.186646 0.808548
0.410000 0.005888 0.166837 0.827275 0.005865 0.165644 0.828491
0.420000 0.005649 0.154474 0.839878 0.005617 0.154043 0.840340
0.430000 0.004897 0.145632 0.849472 0.004857 0.146102 0.849040
0.440000 0.004317 0.135314 0.860369 0.004272 0.136736 0.858992
0.450000 0.003861 0.123821 0.872318 0.003812 0.126188 0.869999
0.460000 0.003489 0.111771 0.884741 0.003437 0.115001 0.881562
0.470000 0.003170 0.100176 0.896654 0.003116 0.104087 0.892797
0.480000 0.002887 0.089988 0.907125 0.002832 0.094251 0.902917
0.490000 0.002630 0.082229 0.915141 0.002573 0.086345 0.911082
0.500000 0.002284 0.074277 0.923440 0.002228 0.077852 0.919920
0.510000 0.001841 0.066400 0.931760 0.001789 0.069051 0.929159
0.520000 0.001470 0.062836 0.935693 0.001424 0.064167 0.934409
0.530000 0.001168 0.062319 0.936514 0.001126 0.061988 0.936886
0.540000 0.000924 0.063552 0.935523 0.000887 0.061302 0.937811
0.550000 0.000731 0.065445 0.933824 0.000698 0.061102 0.938199
0.560000 0.000580 0.067199 0.932222 0.000550 0.060674 0.938775
0.570000 0.000461 0.068300 0.931239 0.000435 0.059606 0.939959
0.580000 0.000369 0.068458 0.931174 0.000345 0.057743 0.941911
0.590000 0.000296 0.067570 0.932133 0.000275 0.055101 0.944624
0.600000 0.000240 0.065661 0.934099 0.000221 0.051771 0.948008
0.610000 0.000195 0.062799 0.937006 0.000178 0.047849 0.951972
0.620000 0.000160 0.059080 0.940760 0.000145 0.043448 0.956407
0.630000 0.000145 0.055533 0.944323 0.000131 0.040499 0.959370
0.640000 0.000131 0.051456 0.948413 0.000119 0.037259 0.962622
0.650000 0.000120 0.047007 0.952873 0.000108 0.033849 0.966043
0.660000 0.000109 0.042346 0.957544 0.000098 0.030397 0.969505
0.670000 0.000100 0.037628 0.962272 0.000090 0.027025 0.972885
0.680000 0.000092 0.032977 0.966931 0.000083 0.023827 0.976091
0.690000 0.000085 0.028496 0.971419 0.000076 0.020869 0.979055
0.700000 0.000078 0.024262 0.975660 0.000070 0.018191 0.981739
0.710000 0.000073 0.020328 0.979599 0.000065 0.015814 0.984121
0.720000 0.000067 0.016731 0.983201 0.000060 0.013740 0.986200
0.730000 0.000063 0.013499 0.986439 0.000056 0.011965 0.987978
0.740000 0.000059 0.010634 0.989308 0.000053 0.010476 0.989471
0.750000 0.000055 0.008150 0.991795 0.000049 0.009257 0.990694
0.760000 0.000051 0.006039 0.993910 0.000046 0.008292 0.991662
0.770000 0.000048 0.004297 0.995655 0.000043 0.007566 0.992390
0.780000 0.000045 0.002927 0.997028 0.000041 0.007058 0.992901
0.790000 0.000043 0.001918 0.998039 0.000039 0.006753 0.993208
0.800000 0.000040 0.001267 0.998692 0.000037 0.006629 0.993334
0.810000 0.000038 0.000964 0.998998 0.000035 0.006664 0.993301
0.820000 0.000036 0.000995 0.998969 0.000033 0.006842 0.993125
0.830000 0.000035 0.001282 0.998683 0.000032 0.007079 0.992888
0.840000 0.000036 0.001647 0.998318 0.000033 0.007253 0.992714
0.850000 0.000036 0.002142 0.997822 0.000034 0.007442 0.992524
0.860000 0.000037 0.002763 0.997200 0.000035 0.007651 0.992314
0.870000 0.000038 0.003503 0.996460 0.000035 0.007878 0.992087
0.880000 0.000038 0.004351 0.995611 0.000036 0.008127 0.991837
0.890000 0.000039 0.005304 0.994657 0.000037 0.008400 0.991563
0.900000 0.000040 0.006358 0.993603 0.000038 0.008696 0.991266
0.910000 0.000040 0.007504 0.992456 0.000039 0.009022 0.990939
0.920000 0.000041 0.008739 0.991220 0.000039 0.009378 0.990583
0.930000 0.000042 0.010059 0.989899 0.000040 0.009764 0.990196
0.940000 0.000042 0.011459 0.988499 0.000041 0.010184 0.989775
0.950000 0.000043 0.012940 0.987017 0.000042 0.010640 0.989318
0.960000 0.000044 0.014494 0.985462 0.000043 0.011133 0.988824
0.970000 0.000044 0.016126 0.983830 0.000044 0.011668 0.988288
0.980000 0.000045 0.017825 0.982129 0.000045 0.012242 0.987714
0.990000 0.000046 0.019595 0.980360 0.000045 0.012857 0.987098
1.000000 0.000047 0.021433 0.978521 0.000046 0.013517 0.986437
1.010000 0.000047 0.023337 0.976615 0.000047 0.014220 0.985732
1.020000 0.000048 0.025309 0.974643 0.000048 0.014971 0.984981
1.030000 0.000049 0.027345 0.972606 0.000049 0.015769 0.984182
1.040000 0.000049 0.029445 0.970505 0.000050 0.016614 0.983336
1.050000 0.000050 0.031604 0.968345 0.000051 0.017505 0.982445
1.060000 0.000051 0.033826 0.966123 0.000052 0.018445 0.981504
1.070000 0.000052 0.036114 0.963835 0.000052 0.019437 0.980511
1.080000 0.000052 0.038457 0.961491 0.000053 0.020475 0.979471
1.090000 0.000053 0.040860 0.959087 0.000054 0.021563 0.978383
1.100000 0.000054 0.043323 0.956624 0.000055 0.022701 0.977244
1.110000 0.000054 0.045839 0.954106 0.000056 0.023885 0.976058
1.120000 0.000055 0.048417 0.951528 0.000057 0.025123 0.974821
1.130000 0.000056 0.051053 0.948891 0.000058 0.026410 0.973532
1.140000 0.000056 0.053740 0.946204 0.000059 0.027743 0.972198
1.150000 0.000057 0.056486 0.943457 0.000060 0.029129 0.970812
1.160000 0.000058 0.059281 0.940661 0.000060 0.030560 0.969380
1.170000 0.000058 0.062129 0.937813 0.000061 0.032039 0.967900
1.180000 0.000059 0.065029 0.934911 0.000062 0.033566 0.966372
1.190000 0.000060 0.067981 0.931959 0.000063 0.035141 0.964796
1.200000 0.000060 0.070978 0.928961 0.000064 0.036760 0.963176
1.210000 0.000061 0.074027 0.925912 0.000065 0.038428 0.961507
1.220000 0.000062 0.077125 0.922814 0.000066 0.040142 0.959792
1.230000 0.000062 0.080265 0.919673 0.000066 0.041900 0.958033
1.240000 0.000063 0.083448 0.916489 0.000067 0.043702 0.956231
1.250000 0.000064 0.086552 0.913384 0.000069 0.045474 0.954458
1.260000 0.000065 0.089697 0.910238 0.000070 0.047294 0.952636
1.270000 0.000066 0.092882 0.907052 0.000071 0.049161 0.950768
1.280000 0.000068 0.096107 0.903826 0.000073 0.051075 0.948852
1.290000 0.000069 0.099368 0.900563 0.000074 0.053035 0.946890
1.300000 0.000070 0.102661 0.897269 0.000076 0.055038 0.944887
1.310000 0.000080 0.102277 0.897643 0.000087 0.054978 0.944935
1.320000 0.000083 0.105072 0.894845 0.000090 0.056753 0.943157
1.330000 0.000086 0.107890 0.892025 0.000093 0.058567 0.941340
1.340000 0.000088 0.110729 0.889183 0.000097 0.060419 0.939484
1.350000 0.000091 0.113588 0.886321 0.000100 0.062309 0.937591
1.360000 0.000094 0.116466 0.883440 0.000103 0.064235 0.935661
1.370000 0.000097 0.119362 0.880541 0.000107 0.066198 0.933696
1.380000 0.000100 0.122275 0.877625 0.000110 0.068195 0.931695
1.390000 0.000103 0.125203 0.874694 0.000113 0.070227 0.929660
1.400000 0.000106 0.128147 0.871747 0.000117 0.072292 0.927591
1.410000 0.000109 0.131104 0.868787 0.000121 0.074390 0.925489
1.420000 0.000112 0.134074 0.865815 0.000124 0.076521 0.923355
1.430000 0.000115 0.137055 0.862830 0.000128 0.078682 0.921190
1.440000 0.000118 0.140047 0.859835 0.000132 0.080874 0.918995
1.450000 0.000121 0.143049 0.856831 0.000135 0.083095 0.916769
1.460000 0.000124 0.146059 0.853817 0.000139 0.085346 0.914515
1.470000 0.000127 0.149077 0.850795 0.000143 0.087624 0.912233
1.480000 0.000130 0.152103 0.847767 0.000147 0.089930 0.909924
1.490000 0.000134 0.155134 0.844732 0.000151 0.092262 0.907588
1.500000 0.000137 0.158171 0.841692 0.000155 0.094619 0.905226
1.510000 0.000140 0.161212 0.838648 0.000159 0.097002 0.902839
1.520000 0.000144 0.164257 0.835600 0.000163 0.099409 0.900428
1.530000 0.000147 0.167304 0.832549 0.000167 0.101839 0.897994
1.540000 0.000150 0.170354 0.829495 0.000171 0.104291 0.895538
1.550000 0.000154 0.173406 0.826441 0.000175 0.106765 0.893059
1.560000 0.000157 0.176458 0.823385 0.000180 0.109261 0.890560
1.570000 0.000160 0.179510 0.820329 0.000184 0.111776 0.888040
1.580000 0.000164 0.182562 0.817274 0.000188 0.114311 0.885501
1.590000 0.000167 0.185612 0.814220 0.000192 0.116865 0.882942
1.600000 0.000171 0.188661 0.811168 0.000197 0.119437 0.880366
1.610000 0.000174 0.191707 0.808118 0.000201 0.122026 0.877773
1.620000 0.000178 0.194751 0.805071 0.000206 0.124632 0.875162
1.630000 0.000181 0.197790 0.802028 0.000210 0.127254 0.872536
1.640000 0.000185 0.200826 0.798989 0.000214 0.129891 0.869895
1.650000 0.000189 0.203858 0.795954 0.000219 0.132542 0.867239
1.660000 0.000192 0.206884 0.792924 0.000224 0.135208 0.864569
1.670000 0.000196 0.209905 0.789899 0.000228 0.137886 0.861886
1.680000 0.000199 0.212920 0.786880 0.000233 0.140577 0.859190
1.690000 0.000203 0.215929 0.783868 0.000237 0.143280 0.856483
1.700000 0.000206 0.218931 0.780862 0.000242 0.145994 0.853764
1.710000 0.000210 0.221926 0.777864 0.000246 0.148719 0.851034
1.720000 0.000214 0.224914 0.774872 0.000251 0.151454 0.848295
1.730000 0.000217 0.227894 0.771889 0.000256 0.154199 0.845546
1.740000 0.000221 0.230865 0.768914 0.000260 0.156952 0.842788
1.750000 0.000225 0.233829 0.765947 0.000265 0.159713 0.840021
1.760000 0.000228 0.236783 0.762989 0.000270 0.162483 0.837247
1.770000 0.000232 0.239728 0.760040 0.000275 0.165259 0.834466
1.780000 0.000236 0.242665 0.757100 0.000279 0.168042 0.831678
1.790000 0.000239 0.245591 0.754170 0.000284 0.170831 0.828884
1.800000 0.000243 0.248508 0.751249 0.000289 0.173626 0.826085
1.810000 0.000247 0.251414 0.748339 0.000294 0.176426 0.823280
1.820000 0.000250 0.254311 0.745439 0.000298 0.179231 0.820471
1.830000 0.000254 0.257196 0.742550 0.000303 0.182039 0.817657
1.840000 0.000258 0.260071 0.739671 0.000308 0.184852 0.814840
1.850000 0.000261 0.262935 0.736803 0.000313 0.187667 0.812020
1.860000 0.000265 0.265789 0.733946 0.000318 0.190486 0.809196
1.870000 0.000269 0.268630 0.731101 0.000322 0.193306 0.806371
1.880000 0.000272 0.271461 0.728267 0.000327 0.196129 0.803544
1.890000 0.000276 0.274280 0.725444 0.000332 0.198953 0.800715
1.900000 0.000280 0.277087 0.722634 0.000337 0.201779 0.797885
1.910000 0.000283 0.279882 0.719835 0.000342 0.204604 0.795054
1.920000 0.000287 0.282666 0.717047 0.000347 0.207431 0.792223
1.930000 0.000291 0.285437 0.714272 0.000351 0.210257 0.789392
1.940000 0.000294 0.288196 0.711510 0.000356 0.213083 0.786561
1.950000 0.000298 0.290943 0.708759 0.000361 0.215908 0.783731
1.960000 0.000301 0.293678 0.706021 0.000366 0.218732 0.780902
1.970000 0.000305 0.296400 0.703295 0.000371 0.221555 0.778074
1.980000 0.000309 0.299109 0.700582 0.000375 0.224376 0.775249
1.990000 0.000312 0.301807 0.697881 0.000380 0.227195 0.772425
2.000000 0.000316 0.304491 0.695193 0.000385 0.230011 0.769604
2.010000 0.000319 0.307163 0.692518 0.000390 0.232825 0.766785
2.020000 0.000323 0.309822 0.689855 0.000395 0.235636 0.763969
2.030000 0.000327 0.312468 0.687205 0.000399 0.238444 0.761157
2.040000 0.000330 0.315101 0.684569 0.000404 0.241248 0.758347
2.050000 0.000334 0.317722 0.681945 0.000409 0.244049 0.755542
2.060000 0.000337 0.320329 0.679334 0.000414 0.246846 0.752741
