# wll SA_transmittance SA_reflectance SA_absorbance SA_transmittance SA_reflectance SA_absorbance
0.300000 0.000129 0.233148 0.766723 0.000131 0.231577 0.768291
0.310000 0.000236 0.258333 0.741432 0.000235 0.260575 0.739190
0.320000 0.000400 0.275742 0.723857 0.000394 0.280111 0.719495
0.330000 0.000517 0.288513 0.710970 0.000503 0.294206 0.705291
0.340000 0.001049 0.277062 0.721889 0.001017 0.283093 0.715890
0.350000 0.001629 0.262401 0.735970 0.001577 0.268116 0.730307
0.360000 0.002208 0.243635 0.754157 0.002152 0.248651 0.749198
0.370000 0.002766 0.222981 0.774253 0.002707 0.226912 0.770381
0.380000 0.003435 0.198625 0.797940 0.003379 0.201452 0.795169
0.390000 0.004234 0.171874 0.823892 0.004181 0.174024 0.821795
0.400000 0.005179 0.144675 0.850146 0.005125 0.146533 0.848342
0.410000 0.006283 0.118987 0.874730 0.006223 0.120764 0.873013
0.420000 0.006003 0.101991 0.892006 0.005936 0.104271 0.889793
0.430000 0.005172 0.088269 0.906559 0.005102 0.091334 0.903565
0.440000 0.004515 0.074495 0.920990 0.004440 0.078305 0.917256
0.450000 0.003980 0.061439 0.934581 0.003903 0.065823 0.930274
0.460000 0.003530 0.050125 0.946345 0.003453 0.054777 0.941771
0.470000 0.003139 0.041793 0.955068 0.003064 0.046308 0.950628
0.480000 0.002792 0.037456 0.959752 0.002719 0.041355 0.955927
0.490000 0.002481 0.037818 0.959701 0.002410 0.040536 0.957054
0.500000 0.002097 0.040287 0.957616 0.002029 0.041051 0.956920
0.510000 0.001647 0.044047 0.954306 0.001594 0.043018 0.955388
0.520000 0.001290 0.049719 0.948991 0.001246 0.046665 0.952089
0.530000 0.001011 0.055826 0.943164 0.000973 0.050713 0.948314
0.540000 0.000793 0.061343 0.937864 0.000761 0.054313 0.944925
0.550000 0.000625 0.065723 0.933652 0.000598 0.056945 0.942457
0.560000 0.000495 0.068815 0.930690 0.000472 0.058282 0.941246
0.570000 0.000395 0.070660 0.928945 0.000375 0.058124 0.941501
0.580000 0.000318 0.071239 0.928443 0.000300 0.056458 0.943243
0.590000 0.000257 0.070493 0.929250 0.000241 0.053475 0.946284
0.600000 0.000209 0.068466 0.931324 0.000194 0.049490 0.950316
0.610000 0.000172 0.065299 0.934529 0.000158 0.044815 0.955028
0.620000 0.000142 0.061189 0.938669 0.000129 0.039750 0.960121
0.630000 0.000129 0.057120 0.942751 0.000117 0.036285 0.963597
0.640000 0.000118 0.052667 0.947215 0.000107 0.032819 0.967074
0.650000 0.000109 0.048004 0.951887 0.000098 0.029425 0.970477
0.660000 0.000100 0.043278 0.956622 0.000090 0.026158 0.973752
0.670000 0.000093 0.038613 0.961294 0.000083 0.023069 0.976848
0.680000 0.000086 0.034100 0.965815 0.000077 0.020191 0.979732
0.690000 0.000080 0.029802 0.970118 0.000072 0.017543 0.982385
0.700000 0.000074 0.025764 0.974162 0.000067 0.015133 0.984800
0.710000 0.000069 0.022012 0.977919 0.000063 0.012962 0.986976
0.720000 0.000065 0.018560 0.981375 0.000059 0.011020 0.988921
0.730000 0.000061 0.015423 0.984516 0.000055 0.009300 0.990645
0.740000 0.000057 0.012595 0.987347 0.000052 0.007783 0.992165
0.750000 0.000054 0.010093 0.989853 0.000049 0.006458 0.993493
0.760000 0.000051 0.007907 0.992042 0.000046 0.005310 0.994643
0.770000 0.000048 0.006041 0.993911 0.000044 0.004336 0.995620
0.780000 0.000046 0.004500 0.995454 0.000042 0.003537 0.996421
0.790000 0.000043 0.003271 0.996685 0.000040 0.002935 0.997026
0.800000 0.000041 0.002347 0.997612 0.000038 0.002551 0.997411
0.810000 0.000039 0.001710 0.998251 0.000036 0.002406 0.997559
0.820000 0.000037 0.001340 0.998622 0.000034 0.002505 0.997461
0.830000 0.000037 0.001222 0.998741 0.000033 0.002776 0.997190
0.840000 0.000038 0.001258 0.998705 0.000034 0.003063 0.996903
0.850000 0.000039 0.001401 0.998561 0.000035 0.003405 0.996560
0.860000 0.000039 0.001649 0.998311 0.000036 0.003784 0.996180
0.870000 0.000040 0.002002 0.997957 0.000037 0.004184 0.995779
0.880000 0.000041 0.002456 0.997502 0.000038 0.004595 0.995367
0.890000 0.000042 0.003013 0.996945 0.000039 0.005011 0.994950
0.900000 0.000043 0.003674 0.996282 0.000040 0.005427 0.994533
0.910000 0.000044 0.004438 0.995518 0.000041 0.005847 0.994112
0.920000 0.000045 0.005306 0.994649 0.000042 0.006270 0.993689
0.930000 0.000046 0.006280 0.993674 0.000043 0.006698 0.993259
0.940000 0.000047 0.007358 0.992594 0.000044 0.007137 0.992820
0.950000 0.000048 0.008546 0.991405 0.000045 0.007590 0.992366
0.960000 0.000049 0.009841 0.990110 0.000046 0.008061 0.991894
0.970000 0.000050 0.011247 0.988703 0.000047 0.008556 0.991397
0.980000 0.000051 0.012761 0.987188 0.000048 0.009075 0.990877
0.990000 0.000052 0.014385 0.985563 0.000049 0.009623 0.990328
1.000000 0.000053 0.016119 0.983827 0.000050 0.010205 0.989745
1.010000 0.000054 0.017964 0.981981 0.000051 0.010821 0.989128
1.020000 0.000055 0.019920 0.980025 0.000052 0.011476 0.988471
1.030000 0.000056 0.021985 0.977959 0.000053 0.012173 0.987774
1.040000 0.000057 0.024159 0.975784 0.000054 0.012910 0.987035
1.050000 0.000058 0.026437 0.973505 0.000056 0.013690 0.986255
1.060000 0.000059 0.028822 0.971119 0.000057 0.014515 0.985428
1.070000 0.000060 0.031314 0.968625 0.000058 0.015389 0.984553
1.080000 0.000061 0.033906 0.966033 0.000059 0.016309 0.983633
1.090000 0.000062 0.036598 0.963340 0.000060 0.017276 0.982664
1.100000 0.000063 0.039389 0.960548 0.000061 0.018292 0.981647
1.110000 0.000064 0.042271 0.957665 0.000062 0.019356 0.980582
1.120000 0.000065 0.045250 0.954686 0.000063 0.020471 0.979465
1.130000 0.000065 0.048319 0.951616 0.000064 0.021637 0.978299
1.140000 0.000066 0.051471 0.948463 0.000065 0.022850 0.977084
1.150000 0.000067 0.054711 0.945222 0.000067 0.024116 0.975817
1.160000 0.000068 0.058026 0.941906 0.000068 0.025429 0.974503
1.170000 0.000069 0.061419 0.938513 0.000069 0.026792 0.973139
1.180000 0.000069 0.064885 0.935046 0.000070 0.028205 0.971725
1.190000 0.000070 0.068421 0.931509 0.000071 0.029667 0.970262
1.200000 0.000071 0.072018 0.927911 0.000072 0.031176 0.968752
1.210000 0.000072 0.075682 0.924246 0.000073 0.032735 0.967192
1.220000 0.000072 0.079406 0.920522 0.000074 0.034343 0.965583
1.230000 0.000073 0.083181 0.916746 0.000075 0.035996 0.963929
1.240000 0.000074 0.087006 0.912920 0.000076 0.037696 0.962228
1.250000 0.000075 0.090784 0.909141 0.000078 0.039418 0.960504
1.260000 0.000076 0.094605 0.905318 0.000080 0.041191 0.958729
1.270000 0.000077 0.098468 0.901455 0.000081 0.043015 0.956904
1.280000 0.000079 0.102369 0.897553 0.000083 0.044888 0.955029
1.290000 0.000080 0.106304 0.893616 0.000085 0.046810 0.953105
1.300000 0.000081 0.110266 0.889652 0.000087 0.048777 0.951136
1.310000 0.000093 0.110200 0.889706 0.000100 0.049064 0.950836
1.320000 0.000096 0.113587 0.886317 0.000103 0.050873 0.949024
1.330000 0.000099 0.116986 0.882914 0.000107 0.052725 0.947167
1.340000 0.000102 0.120396 0.879501 0.000111 0.054622 0.945267
1.350000 0.000105 0.123815 0.876079 0.000115 0.056561 0.943325
1.360000 0.000109 0.127242 0.872650 0.000119 0.058541 0.941340
1.370000 0.000112 0.130674 0.869214 0.000123 0.060563 0.939314
1.380000 0.000115 0.134111 0.865774 0.000127 0.062626 0.937247
1.390000 0.000118 0.137552 0.862330 0.000131 0.064728 0.935141
1.400000 0.000121 0.140994 0.858885 0.000135 0.066869 0.932996
1.410000 0.000125 0.144436 0.855439 0.000139 0.069048 0.930813
1.420000 0.000128 0.147879 0.851993 0.000143 0.071265 0.928592
1.430000 0.000131 0.151319 0.848549 0.000148 0.073518 0.926334
1.440000 0.000135 0.154757 0.845108 0.000152 0.075807 0.924041
1.450000 0.000138 0.158190 0.841671 0.000157 0.078131 0.921712
1.460000 0.000142 0.161619 0.838239 0.000161 0.080490 0.919349
1.470000 0.000145 0.165042 0.834812 0.000166 0.082882 0.916953
1.480000 0.000149 0.168459 0.831392 0.000170 0.085306 0.914523
1.490000 0.000152 0.171868 0.827980 0.000175 0.087763 0.912062
1.500000 0.000156 0.175268 0.824576 0.000180 0.090251 0.909570
1.510000 0.000159 0.178660 0.821181 0.000185 0.092769 0.907047
1.520000 0.000163 0.182042 0.817795 0.000189 0.095316 0.904494
1.530000 0.000167 0.185413 0.814420 0.000194 0.097893 0.901913
1.540000 0.000170 0.188773 0.811057 0.000199 0.100497 0.899304
1.550000 0.000174 0.192122 0.807704 0.000204 0.103129 0.896667
1.560000 0.000178 0.195458 0.804365 0.000209 0.105787 0.894004
1.570000 0.000181 0.198781 0.801038 0.000214 0.108471 0.891315
1.580000 0.000185 0.202091 0.797724 0.000219 0.111180 0.888601
1.590000 0.000189 0.205388 0.794424 0.000224 0.113912 0.885863
1.600000 0.000192 0.208670 0.791138 0.000230 0.116669 0.883102
1.610000 0.000196 0.211937 0.787867 0.000235 0.119448 0.880318
1.620000 0.000200 0.215190 0.784610 0.000240 0.122248 0.877512
1.630000 0.000204 0.218427 0.781370 0.000245 0.125070 0.874685
1.640000 0.000208 0.221648 0.778145 0.000251 0.127912 0.871837
1.650000 0.000211 0.224853 0.774935 0.000256 0.130774 0.868970
1.660000 0.000215 0.228042 0.771743 0.000261 0.133654 0.866085
1.670000 0.000219 0.231215 0.768566 0.000267 0.136552 0.863181
1.680000 0.000223 0.234370 0.765407 0.000272 0.139468 0.860260
1.690000 0.000227 0.237509 0.762264 0.000278 0.142400 0.857322
1.700000 0.000231 0.240630 0.759139 0.000283 0.145348 0.854368
1.710000 0.000234 0.243734 0.756032 0.000289 0.148312 0.851400
1.720000 0.000238 0.246820 0.752942 0.000294 0.151289 0.848417
1.730000 0.000242 0.249889 0.749869 0.000300 0.154280 0.845420
1.740000 0.000246 0.252939 0.746815 0.000305 0.157284 0.842411
1.750000 0.000250 0.255972 0.743778 0.000311 0.160300 0.839389
